日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2018-07-20,'600008,首创股份,4.15,4.17,4.1,4.11,4.12,0.03,0.7282,8017804,33190275.0
2018-07-19,'600008,首创股份,4.12,4.17,4.12,4.15,4.15,-0.03,-0.7229,7532400,31153010.0
2018-07-18,'600008,首创股份,4.15,4.21,4.14,4.16,4.15,0.0,0.0,13162600,54994895.0
2018-07-17,'600008,首创股份,4.15,4.16,4.12,4.15,4.16,-0.01,-0.2404,7076085,29265535.0
2018-07-16,'600008,首创股份,4.16,4.19,4.14,4.19,4.18,-0.02,-0.4785,6216394,25841652.0
2018-07-13,'600008,首创股份,4.18,4.22,4.17,4.2,4.22,-0.04,-0.9479,9868228,41294753.0
2018-07-12,'600008,首创股份,4.22,4.28,4.08,4.08,4.11,0.11,2.6764,23547457,98765988.0
2018-07-11,'600008,首创股份,4.11,4.18,4.1,4.18,4.22,-0.11,-2.6066,11265176,46553974.0
2018-07-10,'600008,首创股份,4.22,4.25,4.18,4.22,4.21,0.01,0.2375,11830708,49840249.0
2018-07-09,'600008,首创股份,4.21,4.23,4.18,4.2,4.18,0.03,0.7177,12461261,52399204.0
2018-07-06,'600008,首创股份,4.18,4.2,4.1,4.18,4.19,-0.01,-0.2387,13370113,55594438.0
2018-07-05,'600008,首创股份,4.19,4.22,4.13,4.18,4.18,0.01,0.2392,17956436,75097336.0
2018-07-04,'600008,首创股份,4.18,4.19,4.11,4.18,4.18,0.0,0.0,12621613,52409409.0
2018-07-03,'600008,首创股份,4.18,4.2,4.13,4.17,4.15,0.03,0.7229,12158566,50751406.0
2018-07-02,'600008,首创股份,4.15,4.22,4.09,4.21,4.22,-0.07,-1.6588,12457456,51752751.0
2018-06-29,'600008,首创股份,4.22,4.23,4.06,4.18,4.17,0.05,1.199,19462964,81065071.0
2018-06-28,'600008,首创股份,4.17,4.31,4.15,4.29,4.3,-0.13,-3.0233,14266152,60667539.0
2018-06-27,'600008,首创股份,4.3,4.31,4.25,4.29,4.28,0.02,0.4673,9673945,41421439.0
2018-06-26,'600008,首创股份,4.28,4.3,4.23,4.26,4.28,0.0,0.0,8799914,37555789.0
2018-06-25,'600008,首创股份,4.28,4.36,4.27,4.36,4.3,-0.02,-0.4651,10179018,43917988.0
2018-06-22,'600008,首创股份,4.3,4.31,4.21,4.26,4.29,0.01,0.2331,10175855,43572371.0
2018-06-21,'600008,首创股份,4.29,4.42,4.23,4.37,4.39,-0.1,-2.2779,19722941,85738079.0
2018-06-20,'600008,首创股份,4.39,4.41,4.32,4.38,4.43,-0.04,-0.9029,19822847,86589405.0
2018-06-19,'600008,首创股份,4.43,4.48,4.26,4.3,4.35,0.08,1.8391,77298397,337508406.0
2018-06-15,'600008,首创股份,4.35,4.35,4.25,4.32,4.32,0.03,0.6944,17775256,76695998.0
2018-06-14,'600008,首创股份,4.32,4.32,4.26,4.27,4.31,0.01,0.232,11425165,49063793.0
2018-06-13,'600008,首创股份,4.31,4.32,4.21,4.31,4.31,0.0,0.0,16328342,69641563.0
2018-06-12,'600008,首创股份,4.31,4.33,4.28,4.3,4.29,0.02,0.4662,9461921,40776201.0
2018-06-11,'600008,首创股份,4.29,4.3,4.26,4.3,4.32,-0.03,-0.6944,9033401,38669338.0
2018-06-08,'600008,首创股份,4.32,4.4,4.24,4.4,4.41,-0.09,-2.0408,22137365,95074168.0
2018-06-07,'600008,首创股份,4.41,4.49,4.41,4.48,4.46,-0.05,-1.1211,9833371,43724934.0
2018-06-06,'600008,首创股份,4.46,4.48,4.45,4.48,4.49,-0.03,-0.6682,8776620,39160030.0
2018-06-05,'600008,首创股份,4.49,4.49,4.44,4.47,4.46,0.03,0.6726,11048401,49314575.0
2018-06-04,'600008,首创股份,4.46,4.5,4.44,4.48,4.47,-0.01,-0.2237,9348701,41737624.0
2018-06-01,'600008,首创股份,4.47,4.58,4.44,4.58,4.56,-0.09,-1.9737,13073624,59002634.0
2018-05-31,'600008,首创股份,4.56,4.61,4.53,4.55,4.54,0.02,0.4405,14730665,67246834.0
2018-05-30,'600008,首创股份,4.54,4.74,4.52,4.74,4.78,-0.24,-5.0209,20968278,97180065.0
2018-05-29,'600008,首创股份,4.78,4.79,4.7,4.75,4.76,0.02,0.4202,23714353,112606623.0
2018-05-28,'600008,首创股份,4.76,4.84,4.75,4.82,4.82,-0.06,-1.2448,14070302,67195688.0
2018-05-25,'600008,首创股份,4.82,4.84,4.76,4.76,4.78,0.04,0.8368,14629096,70281855.0
2018-05-24,'600008,首创股份,4.78,4.84,4.77,4.83,4.84,-0.06,-1.2397,13760264,66222582.0
2018-05-23,'600008,首创股份,4.84,4.89,4.82,4.89,4.9,-0.06,-1.2245,17754088,85923130.0
